id,start,end,text,temperature,avg_logprob,compression_ratio,no_speech_prob,DateTime
59,217,223," I'm going to call from Jared, his employee.",0,-0.504946237587067,1.29946524064171,4.75708475278225E-05,2023-02-01 11:23:49
60,223,227, He was still on list front of the vehicle and he wanted to do a call-off report.,0,-0.504946237587067,1.29946524064171,4.75708475278225E-05,2023-02-01 11:23:49
61,227,230, I think that's going to be 1995.,0,-0.504946237587067,1.29946524064171,4.75708475278225E-05,2023-02-01 11:23:49
62,230,237, That's 6521.,0,-0.504946237587067,1.29946524064171,4.75708475278225E-05,2023-02-01 11:23:49
63,237,239, Go ahead.,0,-0.504946237587067,1.29946524064171,4.75708475278225E-05,2023-02-01 11:23:49
64,239,246," Rocky River and Champsville, Lovia, with Henry Tom King, 3218.",0,-0.504946237587067,1.29946524064171,4.75708475278225E-05,2023-02-01 11:23:49
65,246,248,6667,0,-0.567155953609582,1.13138686131387,0.000222185262828134,2023-02-01 11:23:49
66,248,252,1140,0,-0.567155953609582,1.13138686131387,0.000222185262828134,2023-02-01 11:23:49
67,252,255," Frank 15, you ready?",0,-0.567155953609582,1.13138686131387,0.000222185262828134,2023-02-01 11:23:49
68,255,257, Go ahead.,0,-0.567155953609582,1.13138686131387,0.000222185262828134,2023-02-01 11:23:49
69,257,259," Taffy, stop.",0,-0.567155953609582,1.13138686131387,0.000222185262828134,2023-02-01 11:23:49
70,259,269," West 20th and Abbey, with special employee, King Adam 1567.",0,-0.567155953609582,1.13138686131387,0.000222185262828134,2023-02-01 11:23:49
71,269,274," 6987, vehicle, with all of your driver.",0,-0.567155953609582,1.13138686131387,0.000222185262828134,2023-02-01 11:23:49
72,274,279,1143,0,-0.374051864833048,1.3525641025641,2.84004599961918E-05,2023-02-01 11:23:49
73,279,281," 151, you ready?",0,-0.374051864833048,1.3525641025641,2.84004599961918E-05,2023-02-01 11:23:49
74,281,284, I do have another code 2 for you on the line.,0,-0.374051864833048,1.3525641025641,2.84004599961918E-05,2023-02-01 11:23:49
75,284,292, Go ahead.,0,-0.374051864833048,1.3525641025641,2.84004599961918E-05,2023-02-01 11:23:49
76,292,297," Give me 11776, on line.",0,-0.374051864833048,1.3525641025641,2.84004599961918E-05,2023-02-01 11:23:49
77,297,300, We're asking for the police and then the line disconnected.,0,-0.374051864833048,1.3525641025641,2.84004599961918E-05,2023-02-01 11:23:49
78,300,302," The callback just goes, keep going to voice mail.",0,-0.374051864833048,1.3525641025641,2.84004599961918E-05,2023-02-01 11:23:49
79,302,307," But if priority two, the car is going to be 2055.",0,-0.324344550238715,1.03092783505155,9.91195411188528E-05,2023-02-01 11:23:49
80,307,310, Copy.,0,-0.324344550238715,1.03092783505155,9.91195411188528E-05,2023-02-01 11:23:49
81,310,320," Sam, 621, complete.",0,-0.324344550238715,1.03092783505155,9.91195411188528E-05,2023-02-01 11:23:49
82,320,324," Copy, 1149.",0,-0.324344550238715,1.03092783505155,9.91195411188528E-05,2023-02-01 11:23:49
83,324,330," 1149, ready?",0,-0.324344550238715,1.03092783505155,9.91195411188528E-05,2023-02-01 11:23:49
84,330,334, The issue is going to 2103 West 38th Street.,0,-0.250702263878994,1.4,9.3123824626673E-05,2023-02-01 11:23:49
85,334,340, We're going to try to make contact with Maria Thompson.,0,-0.250702263878994,1.4,9.3123824626673E-05,2023-02-01 11:23:49
86,340,346," I'm going to run to the supply unit, just to remind all zone cars that they still need to switch out gear to do that today,",0,-0.250702263878994,1.4,9.3123824626673E-05,2023-02-01 11:23:49
87,346,361, to turn it in.,0,-0.524790942668915,0.636363636363636,7.47169106034562E-05,2023-02-01 11:23:49
